,segment,label,speaker,start,end,intersection,union
0,[ 00:00:06.171 -->  00:00:08.191],A,SPEAKER_00,6.171477079796265,8.191850594227505,-585.9941494057725,588.1955229202036
1,[ 00:00:08.938 -->  00:00:10.653],B,SPEAKER_00,8.938879456706282,10.653650254668932,-583.5323497453311,585.4281205432936
2,[ 00:00:12.300 -->  00:00:16.001],C,SPEAKER_00,12.300509337860781,16.001697792869273,-578.1843022071307,582.0664906621391
3,[ 00:00:16.103 -->  00:00:18.089],D,SPEAKER_00,16.103565365025467,18.08998302207131,-576.0960169779287,578.2634346349745
4,[ 00:00:18.735 -->  00:00:19.006],E,SPEAKER_01,18.735144312393892,19.006791171477083,-575.179208828523,575.631855687606
5,[ 00:00:32.792 -->  00:00:38.582],F,SPEAKER_03,32.792869269949065,38.58234295415959,-555.6036570458405,561.5741307300509
6,[ 00:00:39.040 -->  00:00:49.940],G,SPEAKER_03,39.04074702886248,49.940577249575554,-544.2454227504245,555.3262529711375
7,[ 00:00:52.249 -->  00:00:59.787],H,SPEAKER_03,52.249575551782684,59.787775891341255,-534.3982241086587,542.1174244482173
8,[ 00:01:05.526 -->  00:01:12.198],I,SPEAKER_01,65.5263157894737,72.1986417657046,-521.9873582342955,528.8406842105262
9,[ 00:01:12.249 -->  00:01:17.020],J,SPEAKER_01,72.2495755517827,77.02037351443124,-517.1656264855687,522.1174244482172
10,[ 00:01:17.614 -->  00:01:23.692],K,SPEAKER_01,77.61460101867573,83.69269949066214,-510.4933005093379,516.7523989813242
11,[ 00:01:27.342 -->  00:01:31.977],L,SPEAKER_01,87.34295415959252,91.97792869269949,-502.20807130730054,507.02404584040744
12,[ 00:01:33.726 -->  00:01:36.154],M,SPEAKER_01,93.72665534804753,96.15449915110358,-498.0315008488965,500.64034465195243
13,[ 00:01:36.935 -->  00:01:39.108],N,SPEAKER_03,96.93548387096774,99.10865874363327,-495.07734125636676,497.4315161290322
14,[ 00:01:39.702 -->  00:01:44.117],O,SPEAKER_03,99.70288624787776,104.11714770797963,-490.06885229202044,494.6641137521222
15,[ 00:01:45.475 -->  00:01:55.509],P,SPEAKER_01,105.4753820033956,115.50933786078099,-478.67666213921905,488.8916179966044
16,[ 00:01:58.361 -->  00:02:02.962],Q,SPEAKER_01,118.3616298811545,122.96264855687608,-471.223351443124,476.00537011884546
17,[ 00:02:04.830 -->  00:02:07.325],R,SPEAKER_01,124.830220713073,127.32597623089984,-466.86002376910017,469.53677928692696
18,[ 00:02:08.548 -->  00:02:10.246],S,SPEAKER_03,128.5483870967742,130.24617996604417,-463.93982003395587,465.81861290322576
19,[ 00:02:12.181 -->  00:02:21.502],T,SPEAKER_03,132.18166383701188,141.50254668930393,-452.6834533106961,462.18533616298805
20,[ 00:02:22.215 -->  00:02:34.269],U,SPEAKER_03,142.2156196943973,154.26994906621394,-439.9160509337861,452.15138030560263
21,[ 00:02:34.354 -->  00:02:34.796],V,SPEAKER_00,154.35483870967744,154.7962648556876,-439.38973514431245,440.0121612903225
22,[ 00:02:35.441 -->  00:02:35.662],W,SPEAKER_00,155.4414261460102,155.6621392190153,-438.5238607809847,438.92557385398976
23,[ 00:02:36.850 -->  00:02:40.840],X,SPEAKER_01,156.85059422750425,160.84040747028862,-433.34559252971144,437.5164057724957
24,[ 00:02:41.689 -->  00:03:04.151],Y,SPEAKER_01,161.6893039049236,184.15110356536505,-410.034896434635,432.6776960950764
25,[ 00:03:04.575 -->  00:03:14.915],Z,SPEAKER_01,184.57555178268254,194.9151103565365,-399.27088964346353,409.79144821731745
26,[ 00:03:15.000 -->  00:03:16.409],AA,SPEAKER_01,195.0,196.40916808149407,-397.776831918506,399.36699999999996
27,[ 00:03:16.799 -->  00:03:17.852],AB,SPEAKER_01,196.79966044142617,197.85229202037354,-396.3337079796265,397.5673395585738
28,[ 00:03:19.006 -->  00:03:20.161],AC,SPEAKER_01,199.0067911714771,200.16129032258067,-394.02470967741937,395.3602088285229
29,[ 00:03:20.874 -->  00:03:21.859],AD,SPEAKER_01,200.87436332767405,201.8590831918506,-392.32691680814946,393.49263667232594
30,[ 00:03:22.538 -->  00:03:23.590],AE,SPEAKER_01,202.53820033955859,203.59083191850596,-390.5951680814941,391.8287996604414
31,[ 00:03:24.337 -->  00:03:25.645],AF,SPEAKER_01,204.33786078098473,205.6451612903226,-388.5408387096775,390.02913921901524
32,[ 00:03:26.018 -->  00:03:28.887],AG,SPEAKER_01,206.01867572156198,208.8879456706282,-385.29805432937184,388.348324278438
33,[ 00:03:29.363 -->  00:03:30.466],AH,SPEAKER_01,209.3633276740238,210.46689303904924,-383.7191069609508,385.00367232597614
